trader_name,phone_numbers,stock_symbol,stock_name,exchange,market_cap,trans_date,trans_type,price_usd
Man Barbrick,808-928-2023,CCNE,CNB Financial Corporation,NASDAQ,$357.95M,3/29/2019,BUY,30.324
Esma Abbado,244-263-3939*540-300-3528,PRI,"Primerica, Inc.",NYSE,$3.43B,4/15/2019,BUY,152.316
Esma Abbado,244-263-3939*540-300-3528,PRI,"Primerica, Inc.",NYSE,$3.43B,4/16/2019,BUY,154.776
Esma Abbado,244-263-3939*540-300-3528,PRI,"Primerica, Inc.",NYSE,$3.43B,4/17/2019,SELL,151.284
Esma Abbado,244-263-3939*540-300-3528,PRI,"Primerica, Inc.",NYSE,$3.43B,4/18/2019,SELL,151.152
Esma Abbado,244-263-3939*540-300-3528,PRI,"Primerica, Inc.",NYSE,$3.43B,4/22/2019,BUY,151.38
Esma Abbado,244-263-3939*540-300-3528,PRI,"Primerica, Inc.",NYSE,$3.43B,4/23/2019,SELL,153.132
Vaclav Pendrill,870-435-5338*746-271-0929,JFR,Nuveen Floating Rate Income Fund,NYSE,$663.3M,6/17/2019,SELL,11.772
Vaclav Pendrill,870-435-5338*746-271-0929,JFR,Nuveen Floating Rate Income Fund,NYSE,$663.3M,6/18/2019,SELL,11.76
Vaclav Pendrill,870-435-5338*746-271-0929,JFR,Nuveen Floating Rate Income Fund,NYSE,$663.3M,6/19/2019,BUY,11.748
Crystie Bote,208-123-8095,IDLB,PowerShares FTSE International Low Beta Equal Weight Portfolio,NASDAQ,$151.51M,1/9/2019,BUY,32.448
Crystie Bote,208-123-8095,IDLB,PowerShares FTSE International Low Beta Equal Weight Portfolio,NASDAQ,$151.51M,1/10/2019,BUY,32.352
Crystie Bote,208-123-8095,IDLB,PowerShares FTSE International Low Beta Equal Weight Portfolio,NASDAQ,$151.51M,1/11/2019,SELL,32.136
Garreth Bignold,979-900-0121*173-278-8922,DRYS,DryShips Inc.,NASDAQ,$1.97M,2/4/2019,SELL,6.144
Garreth Bignold,979-900-0121*173-278-8922,DRYS,DryShips Inc.,NASDAQ,$1.97M,2/5/2019,BUY,6.06
Garreth Bignold,979-900-0121*173-278-8922,DRYS,DryShips Inc.,NASDAQ,$1.97M,2/6/2019,BUY,6.24
Garreth Bignold,979-900-0121*173-278-8922,DRYS,DryShips Inc.,NASDAQ,$1.97M,2/7/2019,BUY,6.072
Alonso Coatman,530-539-6859*121-378-5893,CNK,Cinemark Holdings Inc,NYSE,$4.82B,4/18/2019,SELL,50.7
Alonso Coatman,530-539-6859*121-378-5893,CNK,Cinemark Holdings Inc,NYSE,$4.82B,4/22/2019,SELL,49.032
Alonso Coatman,530-539-6859*121-378-5893,CNK,Cinemark Holdings Inc,NYSE,$4.82B,4/23/2019,SELL,49.248
Alonso Coatman,530-539-6859*121-378-5893,CNK,Cinemark Holdings Inc,NYSE,$4.82B,4/24/2019,SELL,49.8
Alonso Coatman,530-539-6859*121-378-5893,CNK,Cinemark Holdings Inc,NYSE,$4.82B,4/25/2019,SELL,49.2
Alonso Coatman,530-539-6859*121-378-5893,CNK,Cinemark Holdings Inc,NYSE,$4.82B,4/26/2019,BUY,49.836
Phillipp Quiddihy,800-536-7796*838-195-2232,GMED,"Globus Medical, Inc.",NYSE,$3.17B,6/10/2019,BUY,49.272
Phillipp Quiddihy,800-536-7796*838-195-2232,GMED,"Globus Medical, Inc.",NYSE,$3.17B,6/11/2019,SELL,49.416
Phillipp Quiddihy,800-536-7796*838-195-2232,GMED,"Globus Medical, Inc.",NYSE,$3.17B,6/12/2019,BUY,49.308
Phillipp Quiddihy,800-536-7796*838-195-2232,GMED,"Globus Medical, Inc.",NYSE,$3.17B,6/13/2019,SELL,50.04
Phillipp Quiddihy,800-536-7796*838-195-2232,GMED,"Globus Medical, Inc.",NYSE,$3.17B,6/14/2019,SELL,49.44
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/5/2019,BUY,202.5
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/6/2019,SELL,202.02
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/7/2019,BUY,200.256
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/8/2019,BUY,201.804
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/11/2019,SELL,204.912
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/12/2019,SELL,205.536
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/13/2019,BUY,207.552
Gaby Curtois,712-633-1180*400-395-1115,AON,Aon plc,NYSE,$35.76B,2/14/2019,BUY,203.544
Alexis Bater,578-529-8339*735-864-5137,MLHR,"Herman Miller, Inc.",NASDAQ,$1.85B,6/20/2019,BUY,45.744
Alexis Bater,578-529-8339*735-864-5137,MLHR,"Herman Miller, Inc.",NASDAQ,$1.85B,6/21/2019,SELL,44.832
Alexis Bater,578-529-8339*735-864-5137,MLHR,"Herman Miller, Inc.",NASDAQ,$1.85B,6/24/2019,SELL,45.144
Alexis Bater,578-529-8339*735-864-5137,MLHR,"Herman Miller, Inc.",NASDAQ,$1.85B,6/25/2019,BUY,44.532
Alexis Bater,578-529-8339*735-864-5137,MLHR,"Herman Miller, Inc.",NASDAQ,$1.85B,6/26/2019,SELL,45.396
Alexis Bater,578-529-8339*735-864-5137,MLHR,"Herman Miller, Inc.",NASDAQ,$1.85B,6/27/2019,BUY,52.908
Alexis Bater,578-529-8339*735-864-5137,MLHR,"Herman Miller, Inc.",NASDAQ,$1.85B,6/28/2019,BUY,53.64
Ruperto Eadon,249-865-2130*475-458-9761,AWP,Alpine Global Premier Properties Fund,NYSE,$532.95M,1/22/2019,BUY,6.504
Ruperto Eadon,249-865-2130*475-458-9761,AWP,Alpine Global Premier Properties Fund,NYSE,$532.95M,1/23/2019,BUY,6.528
Ruperto Eadon,249-865-2130*475-458-9761,AWP,Alpine Global Premier Properties Fund,NYSE,$532.95M,1/24/2019,SELL,6.552
Ruperto Eadon,249-865-2130*475-458-9761,AWP,Alpine Global Premier Properties Fund,NYSE,$532.95M,1/25/2019,SELL,6.552
Elisha Fivey,874-857-3946,MIME,Mimecast Limited,NASDAQ,$1.4B,3/15/2019,SELL,55.26
Elisha Fivey,874-857-3946,MIME,Mimecast Limited,NASDAQ,$1.4B,3/18/2019,SELL,55.644
Elisha Fivey,874-857-3946,MIME,Mimecast Limited,NASDAQ,$1.4B,3/19/2019,BUY,55.56
Elisha Fivey,874-857-3946,MIME,Mimecast Limited,NASDAQ,$1.4B,3/20/2019,SELL,55.368
Elisha Fivey,874-857-3946,MIME,Mimecast Limited,NASDAQ,$1.4B,3/21/2019,BUY,57.372
Elisha Fivey,874-857-3946,MIME,Mimecast Limited,NASDAQ,$1.4B,3/22/2019,SELL,54.312
Peg Le Grys,961-551-9545*583-605-2960,NURO,"NeuroMetrix, Inc.",NASDAQ,$3.64M,6/19/2019,SELL,0.66
Peg Le Grys,961-551-9545*583-605-2960,NURO,"NeuroMetrix, Inc.",NASDAQ,$3.64M,6/20/2019,BUY,0.66
Peg Le Grys,961-551-9545*583-605-2960,NURO,"NeuroMetrix, Inc.",NASDAQ,$3.64M,6/21/2019,BUY,0.624
Peg Le Grys,961-551-9545*583-605-2960,NURO,"NeuroMetrix, Inc.",NASDAQ,$3.64M,6/24/2019,BUY,0.648
Peg Le Grys,961-551-9545*583-605-2960,NURO,"NeuroMetrix, Inc.",NASDAQ,$3.64M,6/25/2019,BUY,0.648
Peg Le Grys,961-551-9545*583-605-2960,NURO,"NeuroMetrix, Inc.",NASDAQ,$3.64M,6/26/2019,BUY,0.624
Peg Le Grys,961-551-9545*583-605-2960,NURO,"NeuroMetrix, Inc.",NASDAQ,$3.64M,6/27/2019,SELL,0.48
Ethan Chalder,914-758-2106*934-857-1618,FCSC,Fibrocell Science Inc,NASDAQ,$45.41M,4/15/2019,BUY,3.048
Ethan Chalder,914-758-2106*934-857-1618,FCSC,Fibrocell Science Inc,NASDAQ,$45.41M,4/16/2019,SELL,2.652
Ethan Chalder,914-758-2106*934-857-1618,FCSC,Fibrocell Science Inc,NASDAQ,$45.41M,4/17/2019,BUY,2.712
Ethan Chalder,914-758-2106*934-857-1618,FCSC,Fibrocell Science Inc,NASDAQ,$45.41M,4/18/2019,SELL,2.688
Ethan Chalder,914-758-2106*934-857-1618,FCSC,Fibrocell Science Inc,NASDAQ,$45.41M,4/22/2019,BUY,2.46
Ethan Chalder,914-758-2106*934-857-1618,FCSC,Fibrocell Science Inc,NASDAQ,$45.41M,4/23/2019,SELL,2.664
Royce Tonks,388-107-5409*473-293-7961,CHA,China Telecom Corp Ltd,NYSE,$39.48B,2/19/2019,BUY,66.216
Konrad Mattheus,920-880-2231*627-824-3926,NBEV,New Age Beverages Corporation,NASDAQ,$195.98M,4/24/2019,BUY,6.612
Konrad Mattheus,920-880-2231*627-824-3926,NBEV,New Age Beverages Corporation,NASDAQ,$195.98M,4/25/2019,SELL,6.972
Konrad Mattheus,920-880-2231*627-824-3926,NBEV,New Age Beverages Corporation,NASDAQ,$195.98M,4/26/2019,BUY,6.624
Drusi Goodered,147-486-5464*723-548-4225,NIM,Nuveen Select Maturities Municipal Fund,NYSE,$126.32M,5/28/2019,SELL,12.396
Drusi Goodered,147-486-5464*723-548-4225,NIM,Nuveen Select Maturities Municipal Fund,NYSE,$126.32M,5/29/2019,SELL,12.372
Drusi Goodered,147-486-5464*723-548-4225,NIM,Nuveen Select Maturities Municipal Fund,NYSE,$126.32M,5/30/2019,BUY,12.42
Drusi Goodered,147-486-5464*723-548-4225,NIM,Nuveen Select Maturities Municipal Fund,NYSE,$126.32M,5/31/2019,BUY,12.384
Lenore Elcocks,378-946-3903,PML,Pimco Municipal Income Fund II,NYSE,$815.13M,5/8/2019,SELL,17.772
Lenore Elcocks,378-946-3903,PML,Pimco Municipal Income Fund II,NYSE,$815.13M,5/9/2019,BUY,17.724
Lenore Elcocks,378-946-3903,PML,Pimco Municipal Income Fund II,NYSE,$815.13M,5/10/2019,SELL,17.64
Lenore Elcocks,378-946-3903,PML,Pimco Municipal Income Fund II,NYSE,$815.13M,5/13/2019,SELL,17.796
Lenore Elcocks,378-946-3903,PML,Pimco Municipal Income Fund II,NYSE,$815.13M,5/14/2019,SELL,17.844
Lenore Elcocks,378-946-3903,PML,Pimco Municipal Income Fund II,NYSE,$815.13M,5/15/2019,SELL,17.964
Moss Kowalski,129-991-8074*534-194-1695,TRCO,Tribune Media Company,NYSE,$3.57B,6/27/2019,BUY,55.572
Moss Kowalski,129-991-8074*534-194-1695,TRCO,Tribune Media Company,NYSE,$3.57B,6/28/2019,BUY,55.464
Moss Kowalski,129-991-8074*534-194-1695,TRCO,Tribune Media Company,NYSE,$3.57B,7/1/2019,BUY,55.5
Moss Kowalski,129-991-8074*534-194-1695,TRCO,Tribune Media Company,NYSE,$3.57B,7/2/2019,BUY,55.608
Base Davenport,707-826-6750*231-462-0897,GNMA,iShares GNMA Bond ETF,NASDAQ,$174.89M,5/28/2019,BUY,59.556
Base Davenport,707-826-6750*231-462-0897,GNMA,iShares GNMA Bond ETF,NASDAQ,$174.89M,5/29/2019,SELL,59.532
Base Davenport,707-826-6750*231-462-0897,GNMA,iShares GNMA Bond ETF,NASDAQ,$174.89M,5/30/2019,SELL,59.616
Base Davenport,707-826-6750*231-462-0897,GNMA,iShares GNMA Bond ETF,NASDAQ,$174.89M,5/31/2019,BUY,59.676
Cybil Bausmann,757-344-3553,ABG,Asbury Automotive Group Inc,NYSE,$1.15B,6/21/2019,BUY,98.1
Cybil Bausmann,757-344-3553,ABG,Asbury Automotive Group Inc,NYSE,$1.15B,6/24/2019,SELL,96.6
Cybil Bausmann,757-344-3553,ABG,Asbury Automotive Group Inc,NYSE,$1.15B,6/25/2019,SELL,97.32
Cybil Bausmann,757-344-3553,ABG,Asbury Automotive Group Inc,NYSE,$1.15B,6/26/2019,SELL,99
Cybil Bausmann,757-344-3553,ABG,Asbury Automotive Group Inc,NYSE,$1.15B,6/27/2019,BUY,100.728
Cybil Bausmann,757-344-3553,ABG,Asbury Automotive Group Inc,NYSE,$1.15B,6/28/2019,SELL,101.208
Briny Hriinchenko,529-853-4169*353-650-9252,MDIV,First Trust Multi-Asset Diversified Income Index Fund,NASDAQ,$887.04M,2/4/2019,SELL,21.852
Briny Hriinchenko,529-853-4169*353-650-9252,MDIV,First Trust Multi-Asset Diversified Income Index Fund,NASDAQ,$887.04M,2/5/2019,BUY,21.972
Cointon Ricart,325-478-7783,MUX,McEwen Mining Inc.,NYSE,$804.63M,2/11/2019,SELL,2.136
Cointon Ricart,325-478-7783,MUX,McEwen Mining Inc.,NYSE,$804.63M,2/12/2019,BUY,2.148
Cointon Ricart,325-478-7783,MUX,McEwen Mining Inc.,NYSE,$804.63M,2/13/2019,SELL,2.112
Cointon Ricart,325-478-7783,MUX,McEwen Mining Inc.,NYSE,$804.63M,2/14/2019,BUY,2.148
Cointon Ricart,325-478-7783,MUX,McEwen Mining Inc.,NYSE,$804.63M,2/15/2019,SELL,2.256
Margo Stolz,833-456-1989*966-887-7066,MTBC,"Medical Transcription Billing, Corp.",NASDAQ,$19.07M,4/16/2019,BUY,5.904
Margo Stolz,833-456-1989*966-887-7066,MTBC,"Medical Transcription Billing, Corp.",NASDAQ,$19.07M,4/17/2019,SELL,5.964
Margo Stolz,833-456-1989*966-887-7066,MTBC,"Medical Transcription Billing, Corp.",NASDAQ,$19.07M,4/18/2019,BUY,6.084
Margo Stolz,833-456-1989*966-887-7066,MTBC,"Medical Transcription Billing, Corp.",NASDAQ,$19.07M,4/22/2019,BUY,6.468
Margo Stolz,833-456-1989*966-887-7066,MTBC,"Medical Transcription Billing, Corp.",NASDAQ,$19.07M,4/23/2019,SELL,6.444
Margo Stolz,833-456-1989*966-887-7066,MTBC,"Medical Transcription Billing, Corp.",NASDAQ,$19.07M,4/24/2019,BUY,6.432
June Izatt,473-600-4900,KFRC,"Kforce, Inc.",NASDAQ,$498.13M,6/10/2019,SELL,42.792
June Izatt,473-600-4900,KFRC,"Kforce, Inc.",NASDAQ,$498.13M,6/11/2019,BUY,43.284
June Izatt,473-600-4900,KFRC,"Kforce, Inc.",NASDAQ,$498.13M,6/12/2019,SELL,43.428
June Izatt,473-600-4900,KFRC,"Kforce, Inc.",NASDAQ,$498.13M,6/13/2019,BUY,43.788
Jody Belfelt,618-393-1828,HIIQ,"Health Insurance Innovations, Inc.",NASDAQ,$392.38M,4/5/2019,BUY,32.88
Jody Belfelt,618-393-1828,HIIQ,"Health Insurance Innovations, Inc.",NASDAQ,$392.38M,4/8/2019,SELL,32.568
Jody Belfelt,618-393-1828,HIIQ,"Health Insurance Innovations, Inc.",NASDAQ,$392.38M,4/9/2019,SELL,31.116
Jody Belfelt,618-393-1828,HIIQ,"Health Insurance Innovations, Inc.",NASDAQ,$392.38M,4/10/2019,SELL,32.256
Jody Belfelt,618-393-1828,HIIQ,"Health Insurance Innovations, Inc.",NASDAQ,$392.38M,4/11/2019,SELL,30.984
Jody Belfelt,618-393-1828,HIIQ,"Health Insurance Innovations, Inc.",NASDAQ,$392.38M,4/12/2019,SELL,28.62
Jody Belfelt,618-393-1828,HIIQ,"Health Insurance Innovations, Inc.",NASDAQ,$392.38M,4/15/2019,SELL,28.116
Fabian Hendricks,825-944-0182*344-195-3406,INTC,Intel Corporation,NASDAQ,$165.8B,6/5/2019,BUY,53.46
Fabian Hendricks,825-944-0182*344-195-3406,INTC,Intel Corporation,NASDAQ,$165.8B,6/6/2019,BUY,54.12
Fabian Hendricks,825-944-0182*344-195-3406,INTC,Intel Corporation,NASDAQ,$165.8B,6/7/2019,BUY,55.236
Dagny Jaggers,187-302-0654*983-148-3916,EVGN,Evogene Ltd.,NASDAQ,$130.67M,2/19/2019,SELL,2.856
Dagny Jaggers,187-302-0654*983-148-3916,EVGN,Evogene Ltd.,NASDAQ,$130.67M,2/20/2019,BUY,2.688
Dagny Jaggers,187-302-0654*983-148-3916,EVGN,Evogene Ltd.,NASDAQ,$130.67M,2/21/2019,SELL,2.616
Dagny Jaggers,187-302-0654*983-148-3916,EVGN,Evogene Ltd.,NASDAQ,$130.67M,2/22/2019,SELL,2.7
Dagny Jaggers,187-302-0654*983-148-3916,EVGN,Evogene Ltd.,NASDAQ,$130.67M,2/25/2019,SELL,2.7
Robinia Hoyes,521-146-9937,RLH,Red Lion Hotels Corporation,NYSE,$145.96M,7/15/2019,SELL,8.544
Patrizio Dundon,394-599-1793*391-182-3056,DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",NYSE,$254.6M,1/17/2019,SELL,9.888
Patrizio Dundon,394-599-1793*391-182-3056,DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",NYSE,$254.6M,1/18/2019,SELL,9.888
Patrizio Dundon,394-599-1793*391-182-3056,DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",NYSE,$254.6M,1/22/2019,BUY,9.84
Patrizio Dundon,394-599-1793*391-182-3056,DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",NYSE,$254.6M,1/23/2019,BUY,9.852
Shell Meritt,169-207-1318*351-490-9412,MCHX,"Marchex, Inc.",NASDAQ,$124.92M,4/29/2019,BUY,5.64
Shell Meritt,169-207-1318*351-490-9412,MCHX,"Marchex, Inc.",NASDAQ,$124.92M,4/30/2019,SELL,5.724
Nina Licciardi,146-162-1055*826-848-9248,JAG,Jagged Peak Energy Inc.,NYSE,$2.76B,2/20/2019,BUY,13.128
Nina Licciardi,146-162-1055*826-848-9248,JAG,Jagged Peak Energy Inc.,NYSE,$2.76B,2/21/2019,SELL,12.72
Nina Licciardi,146-162-1055*826-848-9248,JAG,Jagged Peak Energy Inc.,NYSE,$2.76B,2/22/2019,SELL,12.708
Nina Licciardi,146-162-1055*826-848-9248,JAG,Jagged Peak Energy Inc.,NYSE,$2.76B,2/25/2019,BUY,12.504
Nina Licciardi,146-162-1055*826-848-9248,JAG,Jagged Peak Energy Inc.,NYSE,$2.76B,2/26/2019,BUY,12
Nina Licciardi,146-162-1055*826-848-9248,JAG,Jagged Peak Energy Inc.,NYSE,$2.76B,2/27/2019,BUY,11.904
Nina Licciardi,146-162-1055*826-848-9248,JAG,Jagged Peak Energy Inc.,NYSE,$2.76B,2/28/2019,BUY,11.364
Thorndike Edsell,873-945-1388*490-174-2092,FLIC,The First of Long Island Corporation,NASDAQ,$665.88M,3/25/2019,SELL,25.512
Thorndike Edsell,873-945-1388*490-174-2092,FLIC,The First of Long Island Corporation,NASDAQ,$665.88M,3/26/2019,BUY,26.244
Thorndike Edsell,873-945-1388*490-174-2092,FLIC,The First of Long Island Corporation,NASDAQ,$665.88M,3/27/2019,SELL,26.292
Thorndike Edsell,873-945-1388*490-174-2092,FLIC,The First of Long Island Corporation,NASDAQ,$665.88M,3/28/2019,SELL,26.316
Thorndike Edsell,873-945-1388*490-174-2092,FLIC,The First of Long Island Corporation,NASDAQ,$665.88M,3/29/2019,BUY,26.316
Georg Osmond,711-873-2842,ONCS,OncoSec Medical Incorporated,NASDAQ,$21.8M,6/12/2019,BUY,3.36
Georg Osmond,711-873-2842,ONCS,OncoSec Medical Incorporated,NASDAQ,$21.8M,6/13/2019,SELL,3.432
Georg Osmond,711-873-2842,ONCS,OncoSec Medical Incorporated,NASDAQ,$21.8M,6/14/2019,BUY,3.36
Georg Osmond,711-873-2842,ONCS,OncoSec Medical Incorporated,NASDAQ,$21.8M,6/17/2019,SELL,3.396
Georg Osmond,711-873-2842,ONCS,OncoSec Medical Incorporated,NASDAQ,$21.8M,6/18/2019,SELL,3.372
Georg Osmond,711-873-2842,ONCS,OncoSec Medical Incorporated,NASDAQ,$21.8M,6/19/2019,BUY,3.276
Georg Osmond,711-873-2842,ONCS,OncoSec Medical Incorporated,NASDAQ,$21.8M,6/20/2019,SELL,3.324
Gavin Roland,508-369-4973*637-781-5057,IGD,Voya Global Equity Dividend and Premium Opportunity Fund,NYSE,$729.05M,3/1/2019,SELL,7.776
Gavin Roland,508-369-4973*637-781-5057,IGD,Voya Global Equity Dividend and Premium Opportunity Fund,NYSE,$729.05M,3/4/2019,BUY,7.776
Alexandra Holyard,430-695-1671*915-944-2100,GYB,CABCO Series 2004-101 Trust,NYSE,,3/11/2019,BUY,25.224
Alexandra Holyard,430-695-1671*915-944-2100,GYB,CABCO Series 2004-101 Trust,NYSE,,3/12/2019,BUY,25.2
Alexandra Holyard,430-695-1671*915-944-2100,GYB,CABCO Series 2004-101 Trust,NYSE,,3/13/2019,SELL,25.2
Alexandra Holyard,430-695-1671*915-944-2100,GYB,CABCO Series 2004-101 Trust,NYSE,,3/14/2019,SELL,25.236
Rania Isham,982-576-6196*475-153-2482,DTQ,DTE Energy Company,NYSE,,6/3/2019,SELL,30.168
Rania Isham,982-576-6196*475-153-2482,DTQ,DTE Energy Company,NYSE,,6/4/2019,SELL,30.228
Rania Isham,982-576-6196*475-153-2482,DTQ,DTE Energy Company,NYSE,,6/5/2019,BUY,30.24
Rania Isham,982-576-6196*475-153-2482,DTQ,DTE Energy Company,NYSE,,6/6/2019,SELL,30.192
Rania Isham,982-576-6196*475-153-2482,DTQ,DTE Energy Company,NYSE,,6/7/2019,SELL,30.312
Rania Isham,982-576-6196*475-153-2482,DTQ,DTE Energy Company,NYSE,,6/10/2019,BUY,30.3
Janaye M'Quharg,437-274-0893*750-863-8525,BFZ,BlackRock California Municipal Income Trust,NYSE,$461.95M,1/22/2019,SELL,14.94
Janaye M'Quharg,437-274-0893*750-863-8525,BFZ,BlackRock California Municipal Income Trust,NYSE,$461.95M,1/23/2019,BUY,14.82
Janaye M'Quharg,437-274-0893*750-863-8525,BFZ,BlackRock California Municipal Income Trust,NYSE,$461.95M,1/24/2019,SELL,14.868
Gil Schrieves,817-296-2406*159-556-7288,IGR,CBRE Clarion Global Real Estate Income Fund,NYSE,$908.24M,7/12/2019,SELL,9.264
Gil Schrieves,817-296-2406*159-556-7288,IGR,CBRE Clarion Global Real Estate Income Fund,NYSE,$908.24M,7/15/2019,BUY,9.216
Viviyan Konmann,941-818-5605*310-364-3847,TEF,Telefonica SA,NYSE,$54.41B,6/7/2019,BUY,10.068
Viviyan Konmann,941-818-5605*310-364-3847,TEF,Telefonica SA,NYSE,$54.41B,6/10/2019,SELL,10.044
Viviyan Konmann,941-818-5605*310-364-3847,TEF,Telefonica SA,NYSE,$54.41B,6/11/2019,BUY,10.188
Viviyan Konmann,941-818-5605*310-364-3847,TEF,Telefonica SA,NYSE,$54.41B,6/12/2019,SELL,10.236
Viviyan Konmann,941-818-5605*310-364-3847,TEF,Telefonica SA,NYSE,$54.41B,6/13/2019,SELL,10.104
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/22/2019,BUY,26.304
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/23/2019,BUY,26.256
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/24/2019,BUY,25.68
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/25/2019,SELL,25.692
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/28/2019,SELL,24.492
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/29/2019,SELL,24.528
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/30/2019,SELL,25.176
Windy Sidnell,756-179-1135*732-582-4307,HZNP,Horizon Pharma plc,NASDAQ,$1.67B,1/31/2019,SELL,25.788
Dallon Ovanesian,449-283-1152*309-631-6477,EOI,Eaton Vance Enhance Equity Income Fund,NYSE,$534.71M,6/17/2019,BUY,17.7
Dallon Ovanesian,449-283-1152*309-631-6477,EOI,Eaton Vance Enhance Equity Income Fund,NYSE,$534.71M,6/18/2019,BUY,17.964
Dallon Ovanesian,449-283-1152*309-631-6477,EOI,Eaton Vance Enhance Equity Income Fund,NYSE,$534.71M,6/19/2019,SELL,18
Harman Strathe,374-526-0413,PAYX,"Paychex, Inc.",NASDAQ,$21.95B,4/22/2019,SELL,97.932
Harman Strathe,374-526-0413,PAYX,"Paychex, Inc.",NASDAQ,$21.95B,4/23/2019,BUY,100.296
Harman Strathe,374-526-0413,PAYX,"Paychex, Inc.",NASDAQ,$21.95B,4/24/2019,SELL,100.176
Harman Strathe,374-526-0413,PAYX,"Paychex, Inc.",NASDAQ,$21.95B,4/25/2019,SELL,99.876
Harman Strathe,374-526-0413,PAYX,"Paychex, Inc.",NASDAQ,$21.95B,4/26/2019,SELL,100.548
Harman Strathe,374-526-0413,PAYX,"Paychex, Inc.",NASDAQ,$21.95B,4/29/2019,SELL,100.332
Johna Adamov,754-859-8081*473-926-0150,BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,$1.66B,4/8/2019,SELL,10.536
Johna Adamov,754-859-8081*473-926-0150,BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,$1.66B,4/9/2019,BUY,10.452
Johna Adamov,754-859-8081*473-926-0150,BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,$1.66B,4/10/2019,SELL,10.5
Johna Adamov,754-859-8081*473-926-0150,BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,$1.66B,4/11/2019,BUY,10.5
Johna Adamov,754-859-8081*473-926-0150,BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,$1.66B,4/12/2019,BUY,10.452
Johna Adamov,754-859-8081*473-926-0150,BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,$1.66B,4/15/2019,BUY,10.452
Darb Croxall,629-339-8951*332-490-3979,UPL,Ultra Petroleum Corp.,NASDAQ,$2.27B,7/12/2019,SELL,0.2652
Darb Croxall,629-339-8951*332-490-3979,UPL,Ultra Petroleum Corp.,NASDAQ,$2.27B,7/15/2019,SELL,0.30276
Valaria Radke,819-715-6827,TEX,Terex Corporation,NYSE,$3.46B,3/25/2019,BUY,38.208
Valaria Radke,819-715-6827,TEX,Terex Corporation,NYSE,$3.46B,3/26/2019,BUY,38.088
Valaria Radke,819-715-6827,TEX,Terex Corporation,NYSE,$3.46B,3/27/2019,SELL,38.196
Valaria Radke,819-715-6827,TEX,Terex Corporation,NYSE,$3.46B,3/28/2019,SELL,38.364
Valaria Radke,819-715-6827,TEX,Terex Corporation,NYSE,$3.46B,3/29/2019,BUY,38.556
Valaria Radke,819-715-6827,TEX,Terex Corporation,NYSE,$3.46B,4/1/2019,BUY,39.408
Henka Fluit,491-537-7055*483-487-2644,ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,$578.34M,5/13/2019,BUY,3.288
Henka Fluit,491-537-7055*483-487-2644,ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,$578.34M,5/14/2019,SELL,3.54
Henka Fluit,491-537-7055*483-487-2644,ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,$578.34M,5/15/2019,BUY,3.66
Henka Fluit,491-537-7055*483-487-2644,ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,$578.34M,5/16/2019,SELL,3.672
Henka Fluit,491-537-7055*483-487-2644,ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,$578.34M,5/17/2019,BUY,3.672
Barney Viney,491-649-0481*958-542-5338,RY,Royal Bank Of Canada,NYSE,$103.48B,4/2/2019,SELL,92.676
